#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
16000,-50742.403467435084,300.78028056486727,31.827140349074035,1.04031471635381
16100,-51072.98009541649,303.6846641094675,31.983675980869297,1.0352231714829903
16200,-50784.45891278787,306.5875574279632,32.01522537294126,1.0342030111892977
16300,-50892.82803878496,306.0459566643806,32.05362407106941,1.0329640857828652
16400,-50662.67792350023,296.68757452731177,31.804878056699142,1.0410428999467822
16500,-50823.405624493986,303.64793611893714,31.84361810950025,1.0397763963486837
16600,-50711.14519583666,293.2646504155092,32.168750798083195,1.0292672753264873
16700,-50777.83805893926,292.3843027436382,32.25924077970995,1.0263800909234404
16800,-50905.62357083326,302.8940256960398,32.48179077976371,1.0193478157992346
16900,-50803.44920720986,306.1531086402688,32.48179077976371,1.0193478157992346
17000,-50434.77510082869,297.32166675355506,32.58883073285882,1.0159997072621358
17100,-50786.54562101889,301.3397229889908,32.19268447933392,1.0285020656122965
17200,-51229.20055641417,309.95274000724754,32.377961572171614,1.0226166465358224
17300,-50923.279024681964,305.6619989551966,32.46967273627123,1.0197282477569618
17400,-50732.314245729474,301.60472098842166,32.34000442467538,1.0238168817112712
17500,-50832.50244681941,304.49849548254355,32.27405275362669,1.0259090402236266
17600,-50836.561373604505,294.52209313649894,32.59489789924661,1.015810590569917
17700,-50979.59209007931,298.60649585480763,32.51035451142165,1.0184522126009867
17800,-50911.42316455791,299.8311594812902,32.51035451142165,1.0184522126009867
17900,-51001.182145725616,308.0673727156337,32.28952660050803,1.0254174021888234
18000,-51043.81783505669,308.25971777719207,32.119558155163475,1.0308436474951048
18100,-50886.85300160735,306.9168703768162,32.28209771580699,1.0256533753191435
18200,-50897.88372302155,307.7413329928318,32.06123434338377,1.0327188944125154
18300,-51281.9350731233,303.9791505444669,32.099956119768095,1.0314731385009464
18400,-50901.79329285034,295.5314524514329,32.110808263592034,1.0311245426400868
18500,-51169.85825558923,300.6564874005429,31.97304359924307,1.0355674267239203
18600,-50930.14490764155,289.7944635667185,32.161865113209515,1.0294876359953646
18700,-51073.23713461139,298.6796021127,32.364232045309414,1.0230504600957637
18800,-51275.73968142306,302.43578036670675,32.316306370191285,1.0245676626936828
18900,-51183.21274591784,298.75375538478323,32.316306370191285,1.0245676626936828
19000,-51286.35288375382,299.64034281297285,31.994821714351886,1.0348625405762968
19100,-51181.15188925402,302.9894802260148,31.926262732375868,1.0370848214258204
19200,-51057.08925788048,300.68058155681183,31.926262732375868,1.0370848214258204
19300,-51024.12733286173,303.2804634372495,31.958059127254664,1.0360529828409566
19400,-51043.956692233645,300.50602767453415,31.903700933630088,1.0378182316051596
19500,-51114.88925592304,302.4307340404404,32.21004319138499,1.027947782865924
19600,-51078.573262995305,305.0987197276567,31.89626502565799,1.0380601759474133
19700,-51220.861509481045,304.70988203616884,31.87955885572683,1.0386041611944057
19800,-50679.35006147579,291.03907049076844,32.00327779959119,1.0345891034018648
19900,-50963.39609092454,306.3737877714452,32.00327779959119,1.0345891034018648
20000,-50790.658237568205,300.2595131053435,32.00327779959119,1.0345891034018648
20100,-50646.00892178545,302.540732884763,31.85989794910314,1.0392450891554696
20200,-50790.55449661746,308.99309583629025,32.03522587495003,1.033557328855622
20300,-50698.80622734571,306.5525582396968,32.04911077403778,1.0331095523380847
20400,-50992.93947597424,313.4922178341314,32.05273903904094,1.03299260772288
20500,-51083.77497610396,314.8293523429235,32.070628342717306,1.0324163945518277
20600,-50858.860400784084,298.43546043680425,32.070628342717306,1.0324163945518277
20700,-51364.39572760885,304.5652420302102,32.31816271857829,1.0245088117452366
20800,-51328.49799305436,296.6043155883834,32.207842750112654,1.028018012304908
20900,-51037.5273220431,294.31129305805763,32.50627944077511,1.0185798883851083
21000,-51078.86166594976,297.0636413945411,32.45680823687966,1.0201324246965762
21100,-50952.6097496831,301.54547494095186,32.4099199325854,1.0216082777578952
21200,-50969.649952775595,310.6702600247559,32.296101353372705,1.0252086504906304
21300,-50921.6163377665,304.6557877227255,32.129949282603974,1.030510262975318
21400,-50957.0513535296,291.80606473993606,32.363637999132415,1.0230692385536957
21500,-51090.54505906447,301.7668231062015,32.363637999132415,1.0230692385536957
21600,-51151.68636012061,297.1347392181111,32.429695708370794,1.020985296388501
21700,-51202.190570967614,297.66904757531574,32.460921398065075,1.02000316252802
21800,-51252.46407567685,301.1378570082118,32.377310777828946,1.02263720145877
21900,-51107.83706514885,300.7920496446975,32.437202255485914,1.0207490221817794
22000,-50907.627148996355,298.76736829934805,32.31910306331004,1.0244790030137918
22100,-51046.24508663706,300.5357431593926,32.137490444508984,1.030268450542848
22200,-51074.30902247629,307.4424043525527,31.917663366482014,1.0373642363610558
22300,-51240.64300168415,308.6663935897855,32.02063101084165,1.034028419783148
22400,-51076.671081505956,307.6210960433108,32.21215354841447,1.0278804375756985
22500,-50796.260187143234,297.2871223156616,32.12501568960331,1.0306685233873798
22600,-51179.07897507454,309.61907225300956,32.12253646035582,1.0307480707653027
22700,-50873.100950961554,294.07528558821355,32.16037305964188,1.0295353982118438
22800,-51116.50056576584,304.812175822665,31.96600036203521,1.0357955987488388
22900,-51041.852334383366,298.56713470006383,32.32806575423969,1.0241949746176071
23000,-51130.604776001084,306.0634957622836,32.30487810857516,1.0249301165389917
23100,-51147.26831781274,304.85685389175063,32.30487810857516,1.0249301165389917
23200,-50946.59024045911,302.1613160864836,32.30487810857516,1.0249301165389917
23300,-51088.59184512959,298.45468317933324,32.19409520971965,1.028456997126716
23400,-51475.50634995282,302.65099322536344,32.058419727466344,1.0328095634805217
23500,-51168.27878380764,299.00701979711846,32.07995247226837,1.0321163197863876
