#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  18
#! SET periodic_psi true
   -3.141592654   -3.141592654 -151.527486972  -52.373278901   20.484577806
   -2.951193099   -3.141592654 -159.729193432  -33.336386422   22.496350051
   -2.760793544   -3.141592654 -164.141724216  -13.489780585   23.521606109
   -2.570393989   -3.141592654 -165.112768871    2.168994932   23.819019864
   -2.379994435   -3.141592654 -163.750747500   10.815409854   23.859523648
   -2.189594880   -3.141592654 -161.421063736   12.601175903   24.234595621
   -1.999195325   -3.141592654 -159.201315562   10.313571707   25.500616569
   -1.808795770   -3.141592654 -157.480760904    8.067788998   27.957297269
   -1.618396215   -3.141592654 -155.867500893    9.717836919   31.469591518
   -1.427996661   -3.141592654 -153.390535210   17.239298714   35.425557337
   -1.237597106   -3.141592654 -148.958189869   29.845142527   38.894714222
   -1.047197551   -3.141592654 -141.886243496   44.238876707   40.912590544
   -0.856797996   -3.141592654 -132.275019545   55.697026419   40.737662885
   -0.666398442   -3.141592654 -121.116142225   59.790313354   37.995164061
   -0.475998887   -3.141592654 -110.106003762   53.956331313   32.705305141
   -0.285599332   -3.141592654 -101.195708419   37.923104303   25.262448115
   -0.095199777   -3.141592654  -96.143481268   14.006470764   16.390524545
    0.095199777   -3.141592654  -96.049449009  -13.221965970    7.082429241
    0.285599332   -3.141592654 -100.971331178  -37.571634551   -1.556035306
    0.475998887   -3.141592654 -109.726534402  -52.454095777   -8.504251529
    0.666398442   -3.141592654 -120.001394414  -52.957481313  -13.051016385
    0.856797996   -3.141592654 -128.884060447  -38.123514659  -14.954334779
    1.047197551   -3.141592654 -133.767687818  -12.047339865  -14.490926143
    1.237597106   -3.141592654 -133.259453296   16.959023709  -12.352938930
    1.427996661   -3.141592654 -127.709107968   39.455267718   -9.389729706
    1.618396215   -3.141592654 -119.090724817   48.387262016   -6.300282802
    1.808795770   -3.141592654 -110.292099488   41.407654558   -3.402430202
    1.999195325   -3.141592654 -104.171560601   21.036895086   -0.610759651
    2.189594880   -3.141592654 -102.749643212   -6.770597502    2.382681545
    2.379994435   -3.141592654 -106.755456220  -34.768296730    5.825305951
    2.570393989   -3.141592654 -115.568931275  -56.316797802    9.713847949
    2.760793544   -3.141592654 -127.488302982  -66.894526764   13.752651904
