#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654 -119.622820182  -54.004938788
   -3.033261872 -124.886272919  -43.279763836
   -2.924931091 -128.925699244  -31.536676891
   -2.816600310 -131.693450805  -19.891902166
   -2.708269529 -133.255933076   -9.389063228
   -2.599938748 -133.783090012   -0.843945756
   -2.491607967 -133.526629335    5.097065198
   -2.383277185 -132.784909183    8.105025013
   -2.274946404 -131.877461392    8.199386172
   -2.166615623 -131.102341084    5.841683350
   -2.058284842 -130.681349808    1.796874311
   -1.949954061 -130.740177517   -2.842578117
   -1.841623280 -131.279459884   -6.895489133
   -1.733292499 -132.169605196   -9.258751861
   -1.624961717 -133.182150273   -9.069650842
   -1.516630936 -134.014557660   -5.987951229
   -1.408300155 -134.358093465   -0.149788615
   -1.299969374 -133.943499326    7.832661130
   -1.191638593 -132.594749942   17.003814536
   -1.083307812 -130.244486866   26.101428356
   -0.974977030 -126.964623281   34.088151920
   -0.866646249 -122.921837962   40.002876646
   -0.758315468 -118.380611703   43.303773298
   -0.649984687 -113.626694239   43.661398671
   -0.541653906 -108.993292647   41.258036658
   -0.433323125 -104.764527143   36.175059134
   -0.324992343 -101.211006826   28.782140165
   -0.216661562  -98.567102863   19.504629546
   -0.108330781  -97.010171229    8.730951253
    0.000000000  -96.681156187   -2.970047607
    0.108330781  -97.638789799  -14.963708697
    0.216661562  -99.879474519  -26.376029890
    0.324992343 -103.277730404  -36.269544767
    0.433323125 -107.612284531  -43.485198935
    0.541653906 -112.529694890  -46.963809499
    0.649984687 -117.570204698  -45.820792714
    0.758315468 -122.216597735  -39.486476992
    0.866646249 -125.908522552  -28.066684962
    0.974977030 -128.121844274  -12.378837390
    1.083307812 -128.461160462    6.300262230
    1.191638593 -126.703500684   26.064259889
    1.299969374 -122.836882902   44.809841806
    1.408300155 -117.097280831   60.439084609
    1.516630936 -109.913508323   71.179671176
    1.624961717 -101.899546791   75.741846685
    1.733292499  -93.741044182   73.651954072
    1.841623280  -86.168520886   65.081885381
    1.949954061  -79.837814193   50.911634004
    2.058284842  -75.279725402   32.620605435
    2.166615623  -72.850122768   11.949644305
    2.274946404  -72.698645231   -9.141172077
    2.383277185  -74.775998601  -28.865513371
    2.491607967  -78.838068839  -45.654145484
    2.599938748  -84.508018261  -58.407994729
    2.708269529  -91.305220642  -66.432174258
    2.816600310  -98.707255310  -69.546775263
    2.924931091 -106.196742404  -68.105734841
    3.033261872 -113.298486888  -62.646522678
